sample.id,parent,block,cross,phenotype,individual,lineage
X8754AQ,Q,1,B,reproductive,X8754,EHB
X875cAQ,Q,1,B,reproductive,X875c,EHB
X875gAQ,Q,1,B,reproductive,X875g,EHB
X8820AQ,Q,2,B,reproductive,X8820,EHB
X882cAQ,Q,2,B,reproductive,X882c,EHB
X882pAQ,Q,2,B,reproductive,X882p,EHB
X888aAQ,Q,1,A,reproductive,X888a,AHB
X888hAQ,Q,1,A,reproductive,X888h,AHB
X888jAQ,Q,1,A,reproductive,X888j,AHB
X894bAQ,Q,2,A,reproductive,X894b,AHB
X894qAQ,Q,2,A,reproductive,X894q,AHB
X894rAQ,Q,2,A,reproductive,X894r,AHB
X8751IQ,Q,1,B,sterile,X8751,EHB
X8756IQ,Q,1,B,sterile,X8756,EHB
X875aIQ,Q,1,B,sterile,X875a,EHB
X8827IQ,Q,2,B,sterile,X8827,EHB
X882gIQ,Q,2,B,sterile,X882g,EHB
X882kIQ,Q,2,B,sterile,X882k,EHB
X882mIQ,Q,2,B,sterile,X882m,EHB
X888eIQ,Q,1,A,sterile,X888e,AHB
X888qIQ,Q,1,A,sterile,X888q,AHB
X888uIQ,Q,1,A,sterile,X888u,AHB
X894cIQ,Q,2,A,sterile,X894c,AHB
X894fIQ,Q,2,A,sterile,X894f,AHB
X894iIQ,Q,2,A,sterile,X894i,AHB
X8754AD,D,1,B,reproductive,X8754,EHB
X875cAD,D,1,B,reproductive,X875c,EHB
X875gAD,D,1,B,reproductive,X875g,EHB
X8820AD,D,2,B,reproductive,X8820,EHB
X882cAD,D,2,B,reproductive,X882c,EHB
X882pAD,D,2,B,reproductive,X882p,EHB
X888aAD,D,1,A,reproductive,X888a,AHB
X888hAD,D,1,A,reproductive,X888h,AHB
X888jAD,D,1,A,reproductive,X888j,AHB
X894bAD,D,2,A,reproductive,X894b,AHB
X894qAD,D,2,A,reproductive,X894q,AHB
X894rAD,D,2,A,reproductive,X894r,AHB
X8751ID,D,1,B,sterile,X8751,EHB
X8756ID,D,1,B,sterile,X8756,EHB
X875aID,D,1,B,sterile,X875a,EHB
X8827ID,D,2,B,sterile,X8827,EHB
X882gID,D,2,B,sterile,X882g,EHB
X882kID,D,2,B,sterile,X882k,EHB
X882mID,D,2,B,sterile,X882m,EHB
X888eID,D,1,A,sterile,X888e,AHB
X888qID,D,1,A,sterile,X888q,AHB
X888uID,D,1,A,sterile,X888u,AHB
X894cID,D,2,A,sterile,X894c,AHB
X894fID,D,2,A,sterile,X894f,AHB
X894iID,D,2,A,sterile,X894i,AHB
